date,timezone,source,origin,tokens,calls,fidelity,day_total_tokens,driver,evidence
2025-01-02,UTC,claude_chat,account/example-provider,4030,,estimated,47276,research,synthetic: representative research day
2025-01-02,UTC,claude_chat,machine/example,2170,,estimated,47276,research,synthetic: representative research day
2025-01-02,UTC,codex,machine/example,23613,,exact,47276,research,synthetic: representative research day
2025-01-02,UTC,codex,machine/example-laptop,12714,,exact,47276,research,synthetic: representative research day
2025-01-02,UTC,qwen_local,account/example-provider,4749,,estimated,47276,research,synthetic: representative research day
2025-01-03,UTC,claude_chat,account/example-provider,4694,,estimated,9140,research,synthetic: representative research day
2025-01-03,UTC,claude_chat,machine/example,2527,,estimated,9140,research,synthetic: representative research day
2025-01-03,UTC,codex,machine/example,1919,31,exact,9140,research,synthetic: representative research day
2025-01-07,UTC,claude_code,machine/example,13417,,exact,24047,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-01-07,UTC,claude_code,machine/example-laptop,7225,,exact,24047,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-01-07,UTC,perplexity_api,account/example-provider,2213,,estimated,24047,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-01-07,UTC,perplexity_api,machine/example,1192,,estimated,24047,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-01-09,UTC,codex,machine/example,9610,,exact,17300,mixed,"synthetic: mixed activity, no single dominant driver"
2025-01-09,UTC,codex,machine/example-laptop,5174,,exact,17300,mixed,"synthetic: mixed activity, no single dominant driver"
2025-01-09,UTC,openai_api,machine/example,2516,39,exact,17300,mixed,"synthetic: mixed activity, no single dominant driver"
2025-01-10,UTC,claude_code,machine/example,15176,,exact,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-10,UTC,claude_code,machine/example-laptop,8172,,exact,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-10,UTC,openai_api,machine/example,15062,,exact,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-10,UTC,openai_api,machine/example-laptop,8110,,exact,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-10,UTC,perplexity_api,account/example-provider,1248,,estimated,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-10,UTC,perplexity_api,machine/example,672,,estimated,48440,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-15,UTC,codex,machine/example,11443,21,exact,31708,maintenance:hygiene,synthetic: representative hygiene day
2025-01-15,UTC,openai_api,machine/example,10074,,exact,31708,maintenance:hygiene,synthetic: representative hygiene day
2025-01-15,UTC,openai_api,machine/example-laptop,5425,,exact,31708,maintenance:hygiene,synthetic: representative hygiene day
2025-01-15,UTC,perplexity_api,account/example-provider,3098,,estimated,31708,maintenance:hygiene,synthetic: representative hygiene day
2025-01-15,UTC,perplexity_api,machine/example,1668,,estimated,31708,maintenance:hygiene,synthetic: representative hygiene day
2025-01-16,UTC,claude_code,machine/example,20275,18,exact,21549,career,synthetic: representative career day
2025-01-16,UTC,perplexity_api,account/example-provider,1274,,estimated,21549,career,synthetic: representative career day
2025-01-17,UTC,claude_code,machine/example,5461,,exact,17113,fixing:data,synthetic: representative data-fixing day
2025-01-17,UTC,claude_code,machine/example-laptop,2941,,exact,17113,fixing:data,synthetic: representative data-fixing day
2025-01-17,UTC,qwen_local,account/example-provider,5662,,estimated,17113,fixing:data,synthetic: representative data-fixing day
2025-01-17,UTC,qwen_local,machine/example,3049,,estimated,17113,fixing:data,synthetic: representative data-fixing day
2025-01-21,UTC,claude_chat,account/example-provider,5110,,estimated,10438,career,synthetic: representative career day
2025-01-21,UTC,claude_chat,machine/example,2752,,estimated,10438,career,synthetic: representative career day
2025-01-21,UTC,claude_code,machine/example,1674,,exact,10438,career,synthetic: representative career day
2025-01-21,UTC,claude_code,machine/example-laptop,902,,exact,10438,career,synthetic: representative career day
2025-01-22,UTC,claude_code,machine/example,29145,38,exact,32770,maintenance:docs,synthetic: representative documentation day
2025-01-22,UTC,qwen_local,account/example-provider,2356,,estimated,32770,maintenance:docs,synthetic: representative documentation day
2025-01-22,UTC,qwen_local,machine/example,1269,,estimated,32770,maintenance:docs,synthetic: representative documentation day
2025-01-23,UTC,perplexity_api,account/example-provider,5420,,estimated,8338,building:infra,synthetic: representative infrastructure day
2025-01-23,UTC,perplexity_api,machine/example,2918,,estimated,8338,building:infra,synthetic: representative infrastructure day
2025-01-25,UTC,claude_chat,account/example-provider,3830,,estimated,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-25,UTC,claude_chat,machine/example,2062,,estimated,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-25,UTC,codex,machine/example,20524,,exact,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-25,UTC,codex,machine/example-laptop,11051,,exact,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-25,UTC,perplexity_api,account/example-provider,4638,,estimated,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-25,UTC,perplexity_api,machine/example,2497,,estimated,44602,maintenance:sync,synthetic: representative sync-maintenance day
2025-01-26,UTC,claude_chat,account/example-provider,6563,,estimated,9979,fixing:security,synthetic: representative security-fixing day
2025-01-26,UTC,perplexity_api,account/example-provider,3416,,estimated,9979,fixing:security,synthetic: representative security-fixing day
2025-01-27,UTC,qwen_local,account/example-provider,2074,,estimated,3191,research,synthetic: representative research day
2025-01-27,UTC,qwen_local,machine/example,1117,,estimated,3191,research,synthetic: representative research day
2025-01-29,UTC,claude_code,machine/example,22796,,exact,35071,building:spec,synthetic: representative spec-writing day
2025-01-29,UTC,claude_code,machine/example-laptop,12275,,exact,35071,building:spec,synthetic: representative spec-writing day
2025-01-30,UTC,claude_code,machine/example,7138,,exact,52332,maintenance:deps,synthetic: representative dependency day
2025-01-30,UTC,claude_code,machine/example-laptop,3844,,exact,52332,maintenance:deps,synthetic: representative dependency day
2025-01-30,UTC,openai_api,machine/example,26878,,exact,52332,maintenance:deps,synthetic: representative dependency day
2025-01-30,UTC,openai_api,machine/example-laptop,14472,,exact,52332,maintenance:deps,synthetic: representative dependency day
2025-01-31,UTC,codex,machine/example,17897,,exact,27534,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-01-31,UTC,codex,machine/example-laptop,9637,,exact,27534,unknown,synthetic: no defensible driver recoverable from demo evidence
2025-02-01,UTC,claude_code,machine/example,8266,,exact,78347,building:spec,synthetic: representative spec-writing day
2025-02-01,UTC,claude_code,machine/example-laptop,4451,,exact,78347,building:spec,synthetic: representative spec-writing day
2025-02-01,UTC,codex,machine/example,19282,,exact,78347,building:spec,synthetic: representative spec-writing day
