date,timezone,total_tokens,driver,evidence,sources,fidelity
2025-01-02,UTC,47276,research,synthetic: representative research day,claude_chat codex qwen_local,mixed
2025-01-03,UTC,9140,research,synthetic: representative research day,claude_chat codex,mixed
2025-01-07,UTC,24047,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_code perplexity_api,mixed
2025-01-09,UTC,17300,mixed,"synthetic: mixed activity, no single dominant driver",codex openai_api,exact
2025-01-10,UTC,48440,maintenance:sync,synthetic: representative sync-maintenance day,claude_code openai_api perplexity_api,mixed
2025-01-15,UTC,31708,maintenance:hygiene,synthetic: representative hygiene day,codex openai_api perplexity_api,mixed
2025-01-16,UTC,21549,career,synthetic: representative career day,claude_code perplexity_api,mixed
2025-01-17,UTC,17113,fixing:data,synthetic: representative data-fixing day,claude_code qwen_local,mixed
2025-01-21,UTC,10438,career,synthetic: representative career day,claude_chat claude_code,mixed
2025-01-22,UTC,32770,maintenance:docs,synthetic: representative documentation day,claude_code qwen_local,mixed
2025-01-23,UTC,8338,building:infra,synthetic: representative infrastructure day,perplexity_api,mixed
2025-01-25,UTC,44602,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat codex perplexity_api,mixed
2025-01-26,UTC,9979,fixing:security,synthetic: representative security-fixing day,claude_chat perplexity_api,mixed
2025-01-27,UTC,3191,research,synthetic: representative research day,qwen_local,mixed
2025-01-29,UTC,35071,building:spec,synthetic: representative spec-writing day,claude_code,exact
2025-01-30,UTC,52332,maintenance:deps,synthetic: representative dependency day,claude_code openai_api,exact
2025-01-31,UTC,27534,unknown,synthetic: no defensible driver recoverable from demo evidence,codex,exact
2025-02-01,UTC,78347,building:spec,synthetic: representative spec-writing day,claude_code codex openai_api,exact
2025-02-04,UTC,63129,strategy,synthetic: representative strategy day,codex openai_api qwen_local,mixed
2025-02-05,UTC,7425,fixing:data,synthetic: representative data-fixing day,codex,exact
2025-02-06,UTC,75470,maintenance:deps,synthetic: representative dependency day,claude_code codex openai_api,exact
2025-02-07,UTC,718,writing,synthetic: representative writing day,claude_chat,mixed
2025-02-08,UTC,28232,fixing:pipeline,synthetic: representative pipeline-fixing day,claude_chat openai_api perplexity_api,mixed
2025-02-10,UTC,26278,strategy,synthetic: representative strategy day,claude_chat claude_code,mixed
2025-02-11,UTC,20118,building:feature,synthetic: representative feature-building day,openai_api perplexity_api,mixed
2025-02-12,UTC,15814,strategy,synthetic: representative strategy day,claude_chat qwen_local,mixed
2025-02-13,UTC,72281,writing,synthetic: representative writing day,claude_code codex,exact
2025-02-14,UTC,47503,career,synthetic: representative career day,claude_chat codex openai_api,mixed
2025-02-16,UTC,25143,research,synthetic: representative research day,claude_code perplexity_api qwen_local,mixed
2025-02-17,UTC,5849,maintenance:docs,synthetic: representative documentation day,qwen_local,mixed
2025-02-19,UTC,3391,research,synthetic: representative research day,claude_chat,mixed
2025-02-21,UTC,17448,maintenance:hygiene,synthetic: representative hygiene day,claude_code perplexity_api,mixed
2025-02-22,UTC,1034,research,synthetic: representative research day,qwen_local,mixed
2025-02-27,UTC,9881,fixing:data,synthetic: representative data-fixing day,claude_chat perplexity_api,mixed
2025-03-01,UTC,49936,strategy,synthetic: representative strategy day,claude_code codex,exact
2025-03-04,UTC,5121,strategy,synthetic: representative strategy day,claude_chat,mixed
2025-03-05,UTC,28715,research,synthetic: representative research day,claude_chat claude_code openai_api,mixed
2025-03-07,UTC,29795,building:content,synthetic: representative content-building day,codex perplexity_api,mixed
2025-03-08,UTC,18877,career,synthetic: representative career day,codex,exact
2025-03-09,UTC,14397,career,synthetic: representative career day,openai_api,exact
2025-03-10,UTC,5464,fixing:bug,synthetic: representative bug-fixing day,claude_code,exact
2025-03-11,UTC,9052,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat perplexity_api,mixed
2025-03-13,UTC,40786,maintenance:deps,synthetic: representative dependency day,claude_chat claude_code openai_api,mixed
2025-03-14,UTC,55309,mixed,"synthetic: mixed activity, no single dominant driver",codex openai_api qwen_local,mixed
2025-03-15,UTC,37553,research,synthetic: representative research day,claude_chat codex openai_api,mixed
2025-03-17,UTC,48192,building:spec,synthetic: representative spec-writing day,claude_chat codex openai_api,mixed
2025-03-18,UTC,17065,maintenance:docs,synthetic: representative documentation day,claude_code perplexity_api,mixed
2025-03-19,UTC,20000,career,synthetic: representative career day,openai_api,exact
2025-03-20,UTC,25212,fixing:pipeline,synthetic: representative pipeline-fixing day,claude_chat claude_code codex,mixed
2025-03-21,UTC,46787,writing,synthetic: representative writing day,codex qwen_local,mixed
2025-03-23,UTC,8908,research,synthetic: representative research day,claude_chat perplexity_api qwen_local,mixed
2025-03-25,UTC,41926,career,synthetic: representative career day,codex,exact
2025-03-26,UTC,31648,building:spec,synthetic: representative spec-writing day,claude_code openai_api,exact
2025-03-28,UTC,10965,writing,synthetic: representative writing day,perplexity_api qwen_local,mixed
2025-03-29,UTC,39201,research,synthetic: representative research day,claude_chat claude_code openai_api,mixed
2025-04-02,UTC,20338,maintenance:hygiene,synthetic: representative hygiene day,claude_code,exact
2025-04-03,UTC,12761,research,synthetic: representative research day,claude_chat qwen_local,mixed
2025-04-04,UTC,13672,building:feature,synthetic: representative feature-building day,perplexity_api qwen_local,mixed
2025-04-05,UTC,38947,shipping,synthetic: representative shipping day,claude_chat claude_code,mixed
2025-04-08,UTC,48332,fixing:bug,synthetic: representative bug-fixing day,codex qwen_local,mixed
2025-04-09,UTC,5944,fixing:pipeline,synthetic: representative pipeline-fixing day,perplexity_api,mixed
2025-04-11,UTC,85931,strategy,synthetic: representative strategy day,codex openai_api qwen_local,mixed
2025-04-12,UTC,17410,fixing:pipeline,synthetic: representative pipeline-fixing day,claude_code,exact
2025-04-15,UTC,8724,maintenance:deps,synthetic: representative dependency day,claude_chat,mixed
2025-04-16,UTC,41308,building:content,synthetic: representative content-building day,openai_api,exact
2025-04-17,UTC,28162,fixing:bug,synthetic: representative bug-fixing day,codex,exact
2025-04-18,UTC,52096,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat claude_code qwen_local,mixed
2025-04-20,UTC,50590,fixing:security,synthetic: representative security-fixing day,claude_code codex openai_api,exact
2025-04-23,UTC,48720,fixing:security,synthetic: representative security-fixing day,openai_api perplexity_api,mixed
2025-04-24,UTC,10277,mixed,"synthetic: mixed activity, no single dominant driver",claude_chat perplexity_api,mixed
2025-04-25,UTC,76588,building:spec,synthetic: representative spec-writing day,codex openai_api,exact
2025-04-26,UTC,24725,building:spec,synthetic: representative spec-writing day,claude_code,exact
2025-04-28,UTC,1003,building:content,synthetic: representative content-building day,perplexity_api,mixed
2025-04-29,UTC,44951,career,synthetic: representative career day,codex openai_api,exact
2025-05-01,UTC,27155,unknown,synthetic: no defensible driver recoverable from demo evidence,openai_api qwen_local,mixed
2025-05-02,UTC,2487,building:content,synthetic: representative content-building day,claude_chat,mixed
2025-05-03,UTC,26255,career,synthetic: representative career day,openai_api,exact
2025-05-06,UTC,3910,career,synthetic: representative career day,perplexity_api,mixed
2025-05-07,UTC,40646,strategy,synthetic: representative strategy day,claude_chat claude_code codex,mixed
2025-05-08,UTC,7853,maintenance:sync,synthetic: representative sync-maintenance day,codex qwen_local,mixed
2025-05-09,UTC,36366,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat openai_api qwen_local,mixed
2025-05-11,UTC,9576,fixing:bug,synthetic: representative bug-fixing day,codex,exact
2025-05-12,UTC,50595,research,synthetic: representative research day,claude_code openai_api qwen_local,mixed
2025-05-13,UTC,44881,building:spec,synthetic: representative spec-writing day,openai_api qwen_local,mixed
2025-05-16,UTC,51342,maintenance:docs,synthetic: representative documentation day,claude_code openai_api,exact
2025-05-17,UTC,38495,building:feature,synthetic: representative feature-building day,claude_chat codex qwen_local,mixed
2025-05-18,UTC,22236,fixing:bug,synthetic: representative bug-fixing day,claude_chat perplexity_api qwen_local,mixed
2025-05-19,UTC,24219,maintenance:deps,synthetic: representative dependency day,openai_api,exact
2025-05-21,UTC,55158,fixing:security,synthetic: representative security-fixing day,claude_code codex qwen_local,mixed
2025-05-22,UTC,25720,building:feature,synthetic: representative feature-building day,openai_api,exact
2025-05-23,UTC,15706,shipping,synthetic: representative shipping day,claude_chat openai_api qwen_local,mixed
2025-05-25,UTC,49409,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat codex openai_api,mixed
2025-05-26,UTC,28423,writing,synthetic: representative writing day,claude_chat openai_api,mixed
2025-05-28,UTC,11605,maintenance:sync,synthetic: representative sync-maintenance day,claude_code qwen_local,mixed
2025-05-30,UTC,7470,maintenance:hygiene,synthetic: representative hygiene day,claude_chat,mixed
2025-05-31,UTC,41579,career,synthetic: representative career day,claude_code openai_api,exact
2025-06-01,UTC,15190,fixing:bug,synthetic: representative bug-fixing day,claude_chat openai_api,mixed
2025-06-02,UTC,5436,maintenance:sync,synthetic: representative sync-maintenance day,qwen_local,mixed
2025-06-03,UTC,14196,fixing:pipeline,synthetic: representative pipeline-fixing day,codex,exact
2025-06-04,UTC,22745,strategy,synthetic: representative strategy day,openai_api,exact
2025-06-06,UTC,38495,fixing:pipeline,synthetic: representative pipeline-fixing day,codex openai_api perplexity_api,mixed
2025-06-11,UTC,12559,maintenance:deps,synthetic: representative dependency day,perplexity_api qwen_local,mixed
2025-06-12,UTC,28971,fixing:security,synthetic: representative security-fixing day,codex,exact
2025-06-15,UTC,1652,maintenance:sync,synthetic: representative sync-maintenance day,perplexity_api,mixed
2025-06-16,UTC,2523,maintenance:hygiene,synthetic: representative hygiene day,codex,exact
2025-06-18,UTC,19561,building:spec,synthetic: representative spec-writing day,codex perplexity_api,mixed
2025-06-19,UTC,41194,maintenance:sync,synthetic: representative sync-maintenance day,openai_api,exact
2025-06-20,UTC,32103,fixing:security,synthetic: representative security-fixing day,claude_code,exact
2025-06-21,UTC,2735,fixing:bug,synthetic: representative bug-fixing day,qwen_local,mixed
2025-06-22,UTC,2890,career,synthetic: representative career day,codex,exact
2025-06-23,UTC,6717,maintenance:sync,synthetic: representative sync-maintenance day,claude_chat perplexity_api,mixed
2025-06-26,UTC,29878,maintenance:docs,synthetic: representative documentation day,claude_chat claude_code,mixed
2025-06-27,UTC,15776,shipping,synthetic: representative shipping day,claude_chat claude_code perplexity_api,mixed
2025-06-29,UTC,37882,fixing:data,synthetic: representative data-fixing day,claude_code perplexity_api qwen_local,mixed
2025-07-01,UTC,9263,career,synthetic: representative career day,claude_chat qwen_local,mixed
2025-07-02,UTC,41750,maintenance:hygiene,synthetic: representative hygiene day,claude_code,exact
2025-07-03,UTC,18878,shipping,synthetic: representative shipping day,claude_code perplexity_api,mixed
2025-07-04,UTC,6605,research,synthetic: representative research day,perplexity_api,mixed
2025-07-05,UTC,7787,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_chat,mixed
2025-07-06,UTC,22531,fixing:data,synthetic: representative data-fixing day,claude_code codex qwen_local,mixed
2025-07-08,UTC,5730,fixing:pipeline,synthetic: representative pipeline-fixing day,perplexity_api,mixed
2025-07-09,UTC,12132,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_code codex perplexity_api,mixed
2025-07-10,UTC,6406,building:spec,synthetic: representative spec-writing day,perplexity_api,mixed
2025-07-13,UTC,34906,maintenance:deps,synthetic: representative dependency day,claude_chat openai_api perplexity_api,mixed
2025-07-15,UTC,4990,maintenance:deps,synthetic: representative dependency day,claude_chat perplexity_api qwen_local,mixed
2025-07-17,UTC,32118,fixing:data,synthetic: representative data-fixing day,claude_code perplexity_api,mixed
2025-07-19,UTC,28448,maintenance:docs,synthetic: representative documentation day,claude_chat claude_code perplexity_api,mixed
2025-07-20,UTC,50301,fixing:bug,synthetic: representative bug-fixing day,claude_chat claude_code qwen_local,mixed
2025-07-22,UTC,3529,mixed,"synthetic: mixed activity, no single dominant driver",qwen_local,mixed
2025-07-23,UTC,29116,building:spec,synthetic: representative spec-writing day,openai_api perplexity_api qwen_local,mixed
2025-07-24,UTC,9628,building:content,synthetic: representative content-building day,claude_chat qwen_local,mixed
2025-07-25,UTC,30094,mixed,"synthetic: mixed activity, no single dominant driver",claude_code,exact
2025-07-26,UTC,20033,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_code qwen_local,mixed
2025-07-29,UTC,71015,building:feature,synthetic: representative feature-building day,claude_chat codex openai_api,mixed
2025-08-02,UTC,12947,mixed,"synthetic: mixed activity, no single dominant driver",claude_chat qwen_local,mixed
2025-08-04,UTC,8952,career,synthetic: representative career day,codex qwen_local,mixed
2025-08-08,UTC,72489,writing,synthetic: representative writing day,codex openai_api qwen_local,mixed
2025-08-09,UTC,4410,shipping,synthetic: representative shipping day,claude_chat,mixed
2025-08-11,UTC,34035,shipping,synthetic: representative shipping day,claude_code perplexity_api,mixed
2025-08-12,UTC,13716,shipping,synthetic: representative shipping day,claude_chat perplexity_api,mixed
2025-08-13,UTC,5427,unknown,synthetic: no defensible driver recoverable from demo evidence,claude_code,exact
2025-08-15,UTC,46578,maintenance:hygiene,synthetic: representative hygiene day,claude_code openai_api qwen_local,mixed
2025-08-16,UTC,24252,research,synthetic: representative research day,claude_chat codex qwen_local,mixed
2025-08-19,UTC,42092,building:infra,synthetic: representative infrastructure day,claude_chat claude_code,mixed
2025-08-27,UTC,6128,building:infra,synthetic: representative infrastructure day,claude_chat,mixed
2025-08-28,UTC,10590,fixing:pipeline,synthetic: representative pipeline-fixing day,claude_chat perplexity_api qwen_local,mixed
2025-08-29,UTC,38776,career,synthetic: representative career day,claude_chat openai_api,mixed
